ID Produit;Nom du Vin;Prix Unitaire (€);Stock Actuel
6202;Domaine Clerget Echezeaux Grand Cru En Orveaux 2015;116.4;14
6204;Domaine Giudicelli Muscat du Cap Corse 2016;31.0;7
6205;Domaine Giudicelli Vin de France Corail Rouge 2019;20.2;109
6206;Domaine Giudicelli Patrimonio Blanc 2019;25.2;120
6207;Domaine Giudicelli Patrimonio Rouge 2016;25.2;363
6212;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015;115.0;2
6213;Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016;121.0;7
6214;Domaine des Comtes Lafon Volnay 1er Cru Champans 2013;99.0;7
6215;Domaine des Comtes Lafon Volnay 1er Cru Champans 2014;115.0;4
6216;Domaine des Comtes Lafon Volnay 1er Cru Champans 2016;121.0;6
6221;Planeta Sicilia Eruzione 1614 2017;23.5;3
6222;Planeta Sicilia Passito di Noto 2016;26.4;10
6223;Planeta Sicilia Chardonnay 2017;26.7;1
6225;Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017;20.4;0
6226;Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017;20.4;0
6227;Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017;40.2;15
6279;Borie de Maurel Minervois Rouge Maxime 2003;45.9;10
6299;Lucien Boillot Gevrey Chambertin 1er Cru Les Cherbaudes 2017;78.0;10
6301;Borie La Vitarèle Saint-Chinian Midi Rouge 2015;40.5;20
6325;Tempier Bandol Blanc 2018;27.9;7
6328;Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018;22.4;7
6567;"Decelle-Villa Côte de Nuits Villages ""Aux Montagnes"" 2014";28.4;9
6568;Decelle-Villa Chambolle-Musigny 2017;72.0;19
6569;Decelle-Villa Chorey-Lès-Beaune 2016;29.0;6
6570;Decelle-Villa Marsannay Les Longeroies 2015;29.2;0
